##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)","doi id(s)"
44,Actinomortierella wolfii NRRL 66265,MowoN66265_1,90253,34053379,8707,Y,Y,N,,Vandepol N et al. 2020,33364917,
45,Mortierella globulifera REB-010B,MoglREB010B_1,4855,39164784,10413,Y,Y,N,,Vandepol N et al. 2020,33364917,
46,Haplosporangium sp. NRRL A-10739,HapNA10739_1,1897648,33515068,9756,Y,Y,N,,Vandepol N et al. 2020,33364917,
47,Podila epicladia KOD 1059,MoepKOD1059_1,979697,38094216,11339,Y,Y,N,,Vandepol N et al. 2020,33364917,
48,Mortierella claussenii NRRL 2760,MoclN2760_1,1343614,37458580,10414,Y,Y,N,,Vandepol N et al. 2020,33364917,
49,Actinomortierella ambigua BC1065,MoamBC1065_1,1343610,37923144,9892,Y,Y,N,,Vandepol N et al. 2020,33364917,
50,Linnemannia zychae NRRL 2592,MozyN2592_1,979765,45702254,11284,Y,Y,N,,Vandepol N et al. 2020,33364917,
51,Podila horticola CK413,MohoCK413_1,311239,40418669,11844,Y,Y,N,,Vandepol N et al. 2020,33364917,
52,Podila clonocystis AM1000,MoclAM1000_1,979688,41421736,11687,Y,Y,N,,Vandepol N et al. 2020,33364917,
53,Cercophora aff. caudata PSN171 v1.0,Ceraff1,42303,42203692,14543,Y,N,N,,,,
54,Neocallimastix constans G3 v1.0,Neocon1,2316399,187118973,23663,Y,N,N,,,,
55,Xylaria pallida CIRM-BRFM 1448 v1.0,Xylpal1,1715255,57245655,11790,Y,N,N,,,,
56,Phialemonium globosum LMS 16-13 v1.0,Phiglo1,1093898,33104628,10647,Y,N,N,,,,
57,Asordaria arctica CBS 143.68 v1.0,Asoarc1,303332,39644034,10659,Y,N,N,,,,
58,Podospora tetraspora CBS 815.71 v1.0,Podtet1,343501,31459291,10639,Y,N,N,,,,
59,Vermiculariopsiella pediculata CBS 132484 v1.0,Verped1,1296272,58266863,18320,Y,N,N,,,,
60,Hygrocybe coccinea JK88 v1.0,Hygcoc1,378274,167428095,23450,Y,N,N,,,,
61,Cyathus pallidus NK-01 v1.0,Cyapal1,380665,158824083,32880,Y,N,N,,,,
62,Cyathus stercoreus NK-82 v1.0,Cyaste1,181520,202911832,33641,Y,N,N,,,,
63,Pestalotiopsis sp. ATCC 11816 v1.0,Pes11816_1,36460,50975316,15865,Y,N,N,,,,
64,Neopestalotiopsis sp. LGMF1551 v1.0,Neo1551_1,1849553,48355850,12019,Y,N,N,,,,
65,Lobosporangium transversale NRRL 5525,EctrN5525_1,64571,35648639,11345,Y,Y,N,,Vandepol N et al. 2020,33364917,
66,Linnemannia elongata NVP71,MoelNVP71_1,310910,45603771,12313,Y,Y,N,,Vandepol N et al. 2020,33364917,
67,Gamsiella multidivaricata NRRL 6456,MomuN6456_1,101098,36027863,10546,Y,Y,N,,Vandepol N et al. 2020,33364917,
68,Linnemannia elongata GBA40,MoelGBA40_1,310910,46808467,12658,Y,Y,N,,Vandepol N et al. 2020,33364917,
69,Dissophora ornata NRRL 22417,DiorN22417_1,979620,38407782,11261,Y,Y,N,,Vandepol N et al. 2020,33364917,
70,Entomortierella chlamydospora AD033,MochAD033_1,101097,39048271,11098,Y,Y,N,,Vandepol N et al. 2020,33364917,
71,Mortierella globulifera AD054,MoglAD054_1,4855,38208522,10364,Y,Y,N,,Vandepol N et al. 2020,33364917,
72,Haplosporangium bisporale NRRL A-12553,HabiNA12553_1,1897645,38988710,13339,Y,Y,N,,Vandepol N et al. 2020,33364917,
73,Mortierella sp. AD031,MospAD031_1,1896182,44817182,12719,Y,Y,N,,Vandepol N et al. 2020,33364917,
74,Entomortierella beljakovae KOD 1040,MobeAD1040_1,979673,37828604,11820,Y,Y,N,,Vandepol N et al. 2020,33364917,
75,Linnemannia gamsii NVP60,MogaNVP60_1,64522,49480766,13261,Y,Y,N,,Vandepol N et al. 2020,33364917,
76,Haplosporangium sp. NRRL 3175,HaspN3175_1,1897644,36129123,10850,Y,Y,N,,Vandepol N et al. 2020,33364917,
77,Mortierella alpina CK1249,MoalCK1249_1,64518,36285647,10609,Y,Y,N,,Vandepol N et al. 2020,33364917,
78,Mortierella sp. GBA43,MospGBA43_1,1896190,39248249,11601,Y,Y,N,,Vandepol N et al. 2020,33364917,
79,Linnemannia elongata GBA34,MoelGBA34_1,310910,46924179,12728,Y,Y,N,,Vandepol N et al. 2020,33364917,
80,Podila verticillata AD079,MoveAD079_1,78898,39719752,12117,Y,Y,N,,Vandepol N et al. 2020,33364917,
81,Mortierella sp. AM989,MospAM989_1,1896186,40151908,11516,Y,Y,N,,Vandepol N et al. 2020,33364917,
82,Podila verticillata TTC192,MoveTTC192_1,78898,42068474,12070,Y,Y,N,,Vandepol N et al. 2020,33364917,
83,Mortierella sp. KOD 1030,MospKOD1030_1,1715235,38836819,11804,Y,Y,N,,Vandepol N et al. 2020,33364917,
84,Mortierella sp. AD032,MospAD032_1,1896183,49302949,12750,Y,Y,N,,Vandepol N et al. 2020,33364917,
85,Linnemannia schmuckeri NRRL 6426,MoscN6426_1,64567,46052497,12060,Y,Y,N,,Vandepol N et al. 2020,33364917,
86,Entomortierella lignicola NRRL 2525,HaliN2525_1,979712,35304070,10855,Y,Y,N,,Vandepol N et al. 2020,33364917,
87,Linnemannia exigua NRRL 28262,MoexN28262_1,604196,48115323,12120,Y,Y,N,,Vandepol N et al. 2020,33364917,
88,Linnemannia elongata NVP5,MoelNVP5_1,310910,46032190,12746,Y,Y,N,,Vandepol N et al. 2020,33364917,
89,Podila minutissima NVP1,MomiNVP1_1,64525,39027383,11360,Y,Y,N,,Vandepol N et al. 2020,33364917,
90,Podila horticola AD009,MohoAD009_1,311239,39961060,12003,Y,Y,N,,Vandepol N et al. 2020,33364917,
91,Podila epigama NRRL 5512,MoepN5512_1,979699,32913551,10351,Y,Y,N,,Vandepol N et al. 2020,33364917,
92,Mortierella sp. AD011,MospAD011_1,1896180,38563514,11587,Y,Y,N,,Vandepol N et al. 2020,33364917,
93,Podila minutissima AD069,MomiAD069_1,64525,39396580,11885,Y,Y,N,,Vandepol N et al. 2020,33364917,
94,Mortierella sp. GBA35,MospGBA35_1,1896188,44822097,12284,Y,Y,N,,Vandepol N et al. 2020,33364917,
95,Linnemannia gamsii AD045,MogaAD045_1,64522,49262965,12723,Y,Y,N,,Vandepol N et al. 2020,33364917,
96,Podila verticillata NRRL 2611,MoveN2611_1,78898,39895005,11691,Y,Y,N,,Vandepol N et al. 2020,33364917,
97,Mortierella sp. AD010,MospAD010_1,1896179,38565807,11645,Y,Y,N,,Vandepol N et al. 2020,33364917,
98,Mortierella sp. NVP85,MospNVP85_1,1896193,42817329,12136,Y,Y,N,,Vandepol N et al. 2020,33364917,
99,Modicella reniformis MES-2147,MoreMES2147_1,1440133,43601601,12900,Y,Y,N,,Vandepol N et al. 2020,33364917,
100,Entomortierella chlamydospora NRRL 2769,MochN2769_1,101097,38209812,11724,Y,Y,N,,Vandepol N et al. 2020,33364917,
101,Podila epicladia AD058,MoepAD058_1,979697,40828719,11811,Y,Y,N,,Vandepol N et al. 2020,33364917,
102,Mortierella sp. GBA39,MospGBA39_1,1896189,50896850,15194,Y,Y,N,,Vandepol N et al. 2020,33364917,
103,Cadophora malorum M34,CadmalM34_1,108018,48849691,16037,Y,Y,N,,Stefanovic E et al. 2021,34197206,
104,Cadophora sp. M221,CadmalM221_1,2774352,58610110,16899,Y,Y,N,,Stefanovic E et al. 2021,34197206,
105,Sistotrema brinkmannii OMC1754 v1.0,Sisbri1,139132,38515943,13245,Y,N,N,,,,
106,Helotiales sp. P8P42 v1.0,Pezci1,1206380,73227636,15793,Y,N,N,,,,
107,Cochliobolus heterostrophus HAW225 v4.0,ChetHAW225_4,5016,44199412,11727,Y,N,N,,,,
108,Cochliobolus heterostrophus PR9b v4.0,ChetPR9b_4,5016,38410429,11145,Y,N,N,,,,
109,Cochliobolus heterostrophus C4 v6.0,CocheC4_6,5016,37785996,11324,Y,N,N,,,,
110,Morchella crassipes M84 v1.0,Morcra1,62754,54774707,10480,Y,N,N,,,,
111,Pholiota sp. NL-8118 v1.0,Phosp1,13205,86484769,18143,Y,N,N,,,,
112,Pleurotus ostreatus DSM 11191 v1.0,PleosDSM11191_1,5322,65989697,12914,Y,N,N,,,,
113,Hypoxylon investiens CIRM-BRFM 1445 v1.0,Hypinv1,326663,38032130,12205,Y,N,N,,,,
114,Neurospora intermedia FGSC 2613 v1.0,Neuin1,5142,39262359,11280,Y,N,N,,,,
115,Trichoderma rossicum M135 v1.0,Triros1,202916,37940362,12256,Y,N,N,,,,
116,Cronartium ribicola Cypress_4 v1.0,Crori1,27354,211630673,14868,Y,N,N,,,,
117,Jumillera viridis CIRM-BRFM 2385 v1.0,Jumvir1,37989,41938978,11281,Y,N,N,,,,
118,Chalara hyalina CBS 558.92 v1.0,Chahya1,112121,25880129,7688,Y,N,N,,,,
119,Xylaria crozonensis 398 v1.0,Xylcro1,743256,40795997,12442,Y,N,N,,,,
120,Rhizopus microsporus ATCC11559 v2.0,Rhimi59_2,58291,27394811,10700,Y,N,N,,,,
121,Cortinarius saniosus 2018PMI107 v1.1,Corsan1_1,304786,209768145,26292,Y,N,N,,,,
122,Pseudoneurospora amorphoporcata CBS626.80 v1.0,Gelamo1,29880,39983120,10636,Y,N,N,,,,
123,Mucor lusitanicus CBS277.49 v3.0,Mucci3,36080,36611222,11616,Y,N,N,,,,
124,Copromyces sp. CBS 386.78 v1.0,CopCBS38678_1,252197,50044663,10890,Y,N,N,,,,
125,Cladorrhinum samala PSN324 v1.0,Clasam1,585594,36213901,10895,Y,N,N,,,,
126,Schizothecium conicum SC1-Ups v1.0,Schcon1,2650730,45272810,11786,Y,N,N,,,,
127,Cladorrhinum sp. PSN332 v1.0,Clasp332_1,2040734,37948236,12024,Y,N,N,,,,
128,Diplogelasinospora grovesii CBS 340.73 v1.0,Dipgro1,303347,48188163,13057,Y,N,N,,,,
129,Cladorrhinum sp. PSN259 v1.0,Clasp259_1,2040734,37965256,11972,Y,N,N,,,,
130,Cladorrhinum microsclerotigenum CBS 290.75 v1.0,Clamic1,711350,33147543,10782,Y,N,N,,,,
131,Cercophora samala CBS 307.81 v1.0,Cersam1,330535,37160918,11249,Y,N,N,,,,
132,Phialemonium atrogriseum 8032-3 v1.0,Phiatr1,1093897,33593884,11400,Y,N,N,,,,
133,Echria (Arnium) macrotheca PSN4 v1.0,Echmac1,438768,37830185,12289,Y,N,N,,,,
134,Podospora aff. communis PSN243 v1.0,Podcom1,5144,41929327,14462,Y,N,N,,,,
135,Apiosordaria verruculosa CBS 315.58 v1.0,Apiver1,192815,37862799,11838,Y,N,N,,,,
136,Podospora decipiens PSN293 v1.0,Poddec1,261697,47086504,14581,Y,N,N,,,,
137,Podospora fimiseda CBS 990.96 v1.0,Podfim1,252190,36304237,12263,Y,N,N,,,,
138,Podospora setosa CBS 892.96 v1.0,Podbra1,2587417,35600331,11395,Y,N,N,,,,
139,Podospora australis PSN309 v1.0,Podaus1,1536484,37782204,12016,Y,N,N,,,,
140,Kriegeriales sp. isolate P6C61 v1.0,Krisp1,1298590,75288537,15297,Y,N,N,,,,
141,Morchella eximia DOB1602 v1.0,Morexim1,1582338,47574696,11510,Y,N,N,,,,
142,Morchella tridentina NRRL54570 v1.0,Mortrid1,1582345,55750205,11075,Y,N,N,,,,
143,Favolaschia claudopus CIRM-BRFM 2984 v1.0,Favcal1_2,2862362,264579338,49883,Y,N,N,,,,
144,Irpex lacteus DSM 1183 v1.0,Irplac1183_1,5319,65596355,14304,Y,N,N,,,,
145,Parafenestella ontariensis EI-6 v1.0,Paront1,2911076,34134849,12041,Y,N,N,,,,
146,Venturia populina CBS256.38 v1.0,Venpo1,217476,54924086,12700,Y,N,N,,,,
147,Helotiales sp. UNIPAMPA011 v1.0,Helsp1,1755440,48198474,16711,Y,N,N,,,,
148,Scleroderma yunnanense jo. v1.0,Sclyun1,1163567,45547305,10194,Y,N,N,,,,
149,Fusarium oxysporum f.sp. basilici Amherst-33 v1.0,Foxbas1,5507,56731494,18076,Y,N,N,,,,
150,Fusarium oxysporum f.sp. basilici Amherst-23 v1.0,Fobas23_1,5507,58000963,18527,Y,N,N,,,,
151,Cadophora sp. UNIPAMPA014 v1.0,Cadosp1,1755420,46752869,14730,Y,N,N,,,,
152,Porosterum spadiceum BS34 v1.0,Porspa1,103378,85198711,16879,Y,N,N,,,,
153,Skeletocutis biguttulata OMC1759 v1.0,Skebig1,83251,38355123,11289,Y,N,N,,,,
154,Xylaria brunneovinosa YMJ720 v1.0,Xylbru1_1,492089,41617965,9402,Y,N,N,,,,
155,Scheffersomyces amazonensis UFMG-HMD-26.3 v1.0,Schama1,1078765,14209774,6071,Y,N,N,,,,
156,Scheffersomyces cryptocercus NRRL Y-48824T v1.0,Schcry1,1276504,16868816,6171,Y,N,N,,,,
157,Scheffersomyces gosingicus CBS11433T v1.0,Schgos1,979893,14092496,5415,Y,N,N,,,,
158,Scheffersomyces lignosus NRRL Y-12856T v1.0,Schlig1,1111081,16663053,6121,Y,N,N,,,,
159,Scheffersomyces xylosifermentans CBS12540T v1.0,Schxyl1,1304137,17250428,6180,Y,N,N,,,,
160,Scheffersomyces shehatae NRRL Y-12858T v1.0,Schshe1,45589,16623917,6035,Y,N,N,,,,
161,Scheffersomyces lignicola CBS10612T v1.0,Schlign1,318678,12903330,5860,Y,N,N,,,,
162,Scheffersomyces insectosa NRRL Y-12854T v1.0,Schins1,1111082,17547331,6162,Y,N,N,,,,
163,Lipomyces tetrasporus NRRL Y-64009 v1.0,Liptet1,54092,20779202,8004,Y,N,N,,,,
164,Darksidea beta DSE7011 v1.0,Darbet1,1571501,46791224,15571,Y,N,N,,,,
165,Kretzschmaria zonata GFP132 v1.0,Krezon1,2070401,67656747,12135,Y,N,N,,,,
166,Candida membranifaciens IST 626 v1.0,Canmem1,45567,11479453,5619,Y,Y,N,,Palma M et al. 2022,35330255,
167,Aspergillus sulphureoviridis CBS 140626 v1.0,Aspsulp1,2562169,32133820,10828,Y,N,N,,,,
168,Aspergillus subversicolor IBT 32280 v1.0,Aspesubv1,1220208,34997533,12999,Y,N,N,,,,
169,Aspergillus croceus CBS 134396 v1.0,Aspcro1_1,1695224,27259776,10145,Y,N,N,,,,
170,Aspergillus israelensis CBS 140627 v1.0,Aspisr1,5052,28032883,9801,Y,N,N,,,,
171,Aspergillus corrugatus CBS 191.77 v1.0,Aspcorr1,210208,32509358,10461,Y,N,N,,,,
172,Aspergillus stellifer CBS 598.65 v1.0,Aspestel1,1549217,31756464,10684,Y,N,N,,,,
173,Trichoderma lanuginosum CBS 125718 v1.0,Trila1,5543,36259530,11789,Y,N,N,,,,
174,Aspergillus austroafricanus IBT 32289 v1.0,Aspaus1,1220192,33241807,13195,Y,N,N,,,,
175,Aspergillus pachycristatus IBT 23550 v1.0,Asppac1,1810921,32185508,10869,Y,N,N,,,,
176,Aspergillus umbrosus CBS 117.46 v1.0,Aspumb1,5065,27419784,11010,Y,N,N,,,,
177,Trichoderma amazonicum CBS 121216 v1.0,Tripleu1,860960,39720323,12696,Y,N,N,,,,
178,Trichoderma chlorosporum CBS114231 v1.0,Trichl1,257799,36768718,11912,Y,N,N,,,,
179,Trichoderma evansii SZMC 28006 v1.0,Triev1,549676,38114710,11885,Y,N,N,,,,
180,Trichoderma velutinum SZMC 28001 v1.0,Triveli1,202918,41310773,13295,Y,N,N,,,,
181,Trichoderma aethiopicum CBS130628 v1.0,Triaet1,1195187,32069629,10504,Y,N,N,,,,
182,Trichoderma asperelloides SZMC 27998 v1.0,Triaspe1,702382,37377375,11746,Y,N,N,,,,
183,Trichoderma afarasin CBS130755 v1.0,Triafa1,1571655,38322483,13038,Y,N,N,,,,
184,Trichoderma ivoriense CBS 125734 v1.0,Triiv1,911157,37036475,12064,Y,N,N,,,,
185,Trichoderma austrokoningii CBS119092 v1.0,Triaus1,362043,33228153,11079,Y,N,N,,,,
186,Trichoderma brevicompactum SZMC 28004 v1.0,Tribrev1,247546,39584842,12019,Y,N,N,,,,
187,Trichoderma sinense DAOM 230004 v1.0,Trisin1,233110,34474474,10243,Y,N,N,,,,
188,Trichoderma helicolixii CBS 133499 v1.0,Triheli1,1491468,36775634,12241,Y,N,N,,,,
189,Trichoderma strictipile CBS 347.93 v1.0,Trist1,63589,39809125,11698,Y,N,N,,,,
190,Trichoderma gillesii CBS130435 v1.0,Trigil1,1117146,31838492,10252,Y,N,N,,,,
191,Trichoderma sp. aff zeloharzianum SZMC 28011 v1.0,TriTUC5505_1,2724209,40383558,12826,Y,N,N,,,,
192,Trichoderma cerinum SZMC 28002 v1.0,Trice1,202912,40186329,12801,Y,N,N,,,,
193,Trichoderma parepimyces CBS 122769 v1.0,Tripare1,692672,59536886,11909,Y,N,N,,,,
194,Trichoderma catoptron CBS114232 v1.0,Trica1,1432384,36115626,11148,Y,N,N,,,,
195,Trichoderma ghanense CBS 259.85 v1.0,Trigha1,65468,31972658,10306,Y,N,N,,,,
196,Trichoderma inhamatum CBS 273.78 v1.0,Triinh1,58856,38296902,12869,Y,N,N,,,,
197,Trichoderma amazonicum SZMC 28009,Triam1,860960,39708519,12689,Y,N,N,,,,
198,Trichoderma intricatum CBS 119059 v1.0,Triint1,370300,35670511,11610,Y,N,N,,,,
199,Trichoderma fertile CBS 339.93 v1.0,Trifer1,63581,37255156,11976,Y,N,N,,,,
200,Trichoderma novae-zelandiae CBS 472.97 v1.0,Trinov1,173947,34589716,10376,Y,N,N,,,,
201,Trichoderma evansii CBS 123079 v1.0,Trieva1,549676,37329910,11936,Y,N,N,,,,
202,Trichoderma endophyticum SZMC 28010 v1.0,Trien1,1567481,39400447,12947,Y,N,N,,,,
203,Trichoderma eijii CBS 133190 v1.0,Triei1,1497374,31036943,10032,Y,N,N,,,,
204,Trichoderma velutinum CBS 230012 v1.0,Trivel1,202918,39453272,12935,Y,N,N,,,,
205,Trichoderma crassum CBS 336.93 v1.0,Tricr1,63578,40881464,12814,Y,N,N,,,,
206,Trichoderma sp. aff compactum SZMC 28013 v1.0,Tri5640_1,2682604,41997300,12874,Y,N,N,,,,
207,Trichoderma europaeum CBS 121276 v1.0,Trieur1,1491463,35651519,11294,Y,N,N,,,,
208,Trichoderma compactum CBS121218 v1.0,Tricom1,1490983,36582420,11803,Y,N,N,,,,
209,Trichoderma longibrachiatum CBS 115340 v1.0,Trior1,5548,32393488,10676,Y,N,N,,,,
210,Trichoderma cremeoides CBS 131486 v1.0,Tricre1,1491461,37509373,12005,Y,N,N,,,,
211,Trichoderma caesareum CBS 124369 v1.0,Tricae1,911155,36598553,11839,Y,N,N,,,,
212,Trichoderma camerunense CBS 138272 v1.0,Tricam1,1738374,39076590,13064,Y,N,N,,,,
213,Trichoderma capillare CBS130629 v1.0,Tricap1,1115737,34231621,10771,Y,N,N,,,,
214,Trichoderma alni SZMC 28000 v1.0,Trialn1,1490976,45849380,12485,Y,N,N,,,,
215,Trichoderma sp. aff palidulum TUCIM 5745 v1.0,Tritai1,2724206,38144035,11720,Y,N,N,,,,
216,Trichoderma effusum DAOM 230007 v1.0,Trieff1,202913,35728818,10381,Y,N,N,,,,
217,Trichoderma sp. aff lixii SZMC 28015 v1.0,Trich5757_1,2818454,40208467,13104,Y,N,N,,,,
218,Trichoderma sp. aff breve SZMC 28012 v1.0,Trsp14807,2818457,39807863,13010,Y,N,N,,,,
219,Trichoderma floccosum CBS 124372 v1.0,Triflo1,911156,37715725,11877,Y,N,N,,,,
220,Trichoderma aggressivum SZMC 3109 v1.0,Triag1,173216,40198631,12489,Y,N,N,,,,
221,Trichoderma spirale SZMC 28008 v1.0,Trispi1_2,63588,39745706,11765,Y,N,N,,,,
222,Trichoderma flagellatum SZMC 28003 v1.0,Trifla1,1195188,34607782,10318,Y,N,N,,,,
223,Trichoderma ceciliae CBS130010 v1.0,Tricec1,1491460,31606177,9660,Y,N,N,,,,
224,Trichoderma strigosellum SZMC 28007 v1.0,Tristr1,1202974,35847496,11341,Y,N,N,,,,
225,Trichoderma sp. aff palidulum SZMC 28014 v1.0,Tri5649_1,2724212,38138098,11796,Y,N,N,,,,
226,Trichoderma ceramicum CBS114576 v1.0,Tricer1,1490981,35250198,11530,Y,N,N,,,,
227,Trichoderma gracile CBS130714 v1.0,Trigra1,1195189,32174923,10205,Y,N,N,,,,
228,Trichoderma barbatum CBS125733 v1.0,Tribar1,911154,37810149,12224,Y,N,N,,,,
229,Trichoderma minutisporum DAOM 175931 v1.0,Trimi1,63585,36980482,11228,Y,N,N,,,,
230,Trichoderma taiwanense SZMC 28005 v1.0,Trikon1,337941,37012296,11805,Y,N,N,,,,
231,Trichoderma konilangbra CBS 100808 v1.0,Trikoni1,173937,32346726,10292,Y,N,N,,,,
232,Trichoderma sp. aff pleuroticola CBS 121217 v1.0,Trichpleur1,504485,40720968,12747,Y,N,N,,,,
233,Trichoderma helicum DAOM 230021 v1.0,Trihel1,202915,37707085,11091,Y,N,N,,,,
234,Fusarium vanettenii T159 v1.0,FvanT159_1,2747968,53281382,17252,Y,N,N,,,,
235,Aspergillus cibarius DTO 197-D3 v1.0,Aspcib1,1235455,27075439,9889,Y,N,N,,,,
236,Entophlyctis luteolus JEL0129 v1.0,Entlut1,109932,38480498,12279,Y,N,N,,,,
237,Aspergillus caespitosus CBS 103.45 v1.0,Aspcaesp1,176165,31994692,10889,Y,N,N,,,,
238,Gnomoniopsis castanea Behrend v1.0,Gnocas1,1940663,39284226,12058,Y,N,N,,,,
239,Ganoderma boninense G3 v1.0,Ganbon1,34458,79188463,19834,Y,Y,N,,Utomo C et al. 2018,29700132,
240,Ganoderma lucidum G.260125-1 v1.0,Ganluc1,1077286,43292593,14076,Y,Y,N,,Chen S et al. 2012,22735441,
241,Penicillium citrinum UNK v1.0,Penci1,5077,33647307,11593,Y,N,N,,,,
242,Fusarium mori NRRL 22230 v1.0,Fusmo1,2747438,43636654,14523,Y,N,N,,,,
243,Trichoderma asperelloides T203 v1.0,Triasper1,101201,36270279,11166,Y,Y,N,,Gortikov M et al. 2022,35175124,
244,Blastobotrys indianensis NRRL YB-1950,Blain1,241408,14239844,6529,Y,N,N,,,,
245,Debaryomyces singareniensis CBS 10405,Debsi1,526733,10095892,5418,Y,N,N,,,,
246,Blastobotrys raffinosifermentans NRRL Y-27150,Blara1,1548389,12020469,6102,Y,Y,N,,Shen XX et al. 2018,30415838,
247,Debaryomyces fabryi NRRL Y-17914,Debfab1,58627,11912606,6116,Y,Y,N,,Shen XX et al. 2018,30415838,
248,Dioszegia hungarica PDD-24b-2,Diohu1,4972,20956533,8219,Y,Y,N,,Jarrige D et al. 2022,36259934,
249,Fusarium graminearum Z3639 v3.0,Fusgra3,5518,36824640,12411,Y,N,N,,,,
250,Phanerochaete chrysosporium RP-78 v4.0,Phchr4_2,273507,33908445,12256,Y,N,N,,,,
