Species	TotalProteins	polyQ10_count	polyQ10_freq
Satdi1	4881	51	0.0104
Exova1	7453	76	0.0102
Zyghet1	14998	153	0.0102
Aspzo1	9886	100	0.0101
Zygro1	4991	50	0.0100
Gaegr1	14655	145	0.0099
Pilidi1	11316	111	0.0098
Rhanym2	7713	75	0.0097
Sorma1	9856	96	0.0097
Blatri1	11687	112	0.0096
Obemuc1	15466	149	0.0096
Cybja1	6038	57	0.0094
Zancul2	8067	76	0.0094
Artbe1	7980	74	0.0093
PuccoNC29	28270	264	0.0093
Tripar1	9062	84	0.0093
Bacci1	17002	157	0.0092
PuccoSD80	26323	243	0.0092
Sakvas1	9387	86	0.0092
Yarli1	6446	59	0.0092
Ophca1	7618	69	0.0091
Blabri1	9429	85	0.0090
Hompol1	7123	64	0.0090
Jamsp1	6858	62	0.0090
Chocucu1	11534	103	0.0089
Marpt1	8432	75	0.0089
Thite2	9813	87	0.0089
PnitS608	11985	105	0.0088
Parbra1	8390	73	0.0087
Triver1	8024	70	0.0087
Endsp1	9512	82	0.0086
Ophpi1	7990	68	0.0085
Picme2	5546	47	0.0085
SacceM3838	5991	51	0.0085
Tetbla1	5389	46	0.0085
Trivi1	7037	60	0.0085
Lacme1	4998	42	0.0084
Nakwi1	5490	46	0.0084
OphPMI507	11900	100	0.0084
Powhir1	9359	79	0.0084
Seppo1	9739	82	0.0084
Vanpo1	5367	45	0.0084
Coespi1	7247	60	0.0083
Emmcr1	8908	74	0.0083
Klula1	5076	42	0.0083
Rhimi1	10905	90	0.0083
LacCBS6924	5059	41	0.0081
Symat1	6184	50	0.0081
Trisp1	7254	59	0.0081
Ustvir1	6451	52	0.0081
Ophau1	8171	65	0.0080
Sacboulardii	5493	44	0.0080
Magpo1	12335	98	0.0079
Moeli1	8461	67	0.0079
Acrchr1	8899	69	0.0078
Arxad1	6119	48	0.0078
FenlinCB54	12951	101	0.0078
Ustgig1	6705	52	0.0078
Cepfr1	5717	44	0.0077
Ophpic1	8884	68	0.0077
Emepa1	8950	68	0.0076
Parlu1	8826	67	0.0076
Sacce1	6573	50	0.0076
Synplu1	8130	62	0.0076
Trieq1	8676	66	0.0076
Clapol1	16591	125	0.0075
Mucci2	11719	88	0.0075
Podan3	10575	79	0.0075
Triso1	10671	80	0.0075
Ustbr1	7185	54	0.0075
Lacno1	5154	38	0.0074
Lichy1	12062	89	0.0074
Yarlip1	6858	51	0.0074
Lacqu1	5074	37	0.0073
Trito1	8521	62	0.0073
Amyrou1	14619	104	0.0071
Fenlin1	14128	99	0.0070
Nauca1	5592	39	0.0070
Torra1	11634	82	0.0070
Clapu1	8823	61	0.0069
Colhig2	14651	101	0.0069
Madmy1	10707	74	0.0069
Melen1	6624	46	0.0069
Nadfu1	5657	39	0.0069
Verda1	10499	72	0.0069
Calful1	9203	63	0.0068
Linrh1	10230	70	0.0068
Synfus1	8846	60	0.0068
Triru1	8707	59	0.0068
Lacth1	5092	34	0.0067
Rosne1	12444	83	0.0067
Thelan1	6241	42	0.0067
Beaba1	10364	68	0.0066
Chyhya1	15516	102	0.0066
Psehu1	7472	49	0.0066
Colgr1	11999	78	0.0065
Crypa2	11609	75	0.0065
Nakdel1	5103	33	0.0065
Trire	10052	65	0.0065
Thasp1	6857	44	0.0064
Gervar1	9411	59	0.0063
Jimfl	13759	87	0.0063
Aplpr1	12558	78	0.0062
Phycit1	11368	69	0.0061
Caupr	3328	20	0.0060
Corbr1	9595	58	0.0060
Lenzyc1	9378	56	0.0060
Micin1	8142	49	0.0060
Spifus1	10164	61	0.0060
Tilan2	6810	41	0.0060
Torde1	4972	30	0.0060
Dreco1	8236	49	0.0059
Lacla1	5058	30	0.0059
Rhior3	17463	103	0.0059
Aspvio1	12081	70	0.0058
Melti1	8994	52	0.0058
Morimp1	11971	70	0.0058
Ascru1	6802	39	0.0057
Coemoj1	6859	39	0.0057
Lepmu1	12469	71	0.0057
Linpe1	9350	53	0.0057
Theau1	8798	50	0.0057
Zyghe1	5430	31	0.0057
Anasp1	12831	72	0.0056
Chagl	11124	62	0.0056
Coeere1	8187	46	0.0056
Radspe1	10905	61	0.0056
Sugame1	6288	35	0.0056
Synps1	6123	34	0.0056
Valma1	11165	62	0.0056
Colsub1	12699	70	0.0055
Jimlac1	12466	68	0.0055
Micld1	7819	43	0.0055
Nakbac1	5086	28	0.0055
Pucgr2	15979	88	0.0055
Rhodsp1	6681	37	0.0055
Tilalb1	8471	47	0.0055
Aspram1	7761	42	0.0054
Coebra1	7022	38	0.0054
Tolca1	7646	41	0.0054
Corfu1	10061	53	0.0053
CorRAO	11255	60	0.0053
Lacda1	5096	27	0.0053
Polhy1	9934	53	0.0053
Ustsp1	8060	43	0.0053
Ascra1	10596	55	0.0052
Aspjap1	12024	62	0.0052
Blader1	11539	60	0.0052
Botmuc1	5715	30	0.0052
Kicala1	7475	39	0.0052
Polagg1	10687	56	0.0052
Stely1	8997	47	0.0052
Nangy1	8907	45	0.0051
Emmpa1	8201	41	0.0050
Eutla1	11685	58	0.0050
Kurca1	6029	30	0.0050
Tilwa1	7011	35	0.0050
Tripe1	6567	33	0.0050
Verlo1	20793	103	0.0050
Aspuva1	12015	59	0.0049
Lenpar1	9633	47	0.0049
Plesi1	13470	66	0.0049
Sepmu1	10233	50	0.0049
Aspac1	10845	52	0.0048
Aspind1	12163	58	0.0048
Blade1	11343	54	0.0048
Cepal1	6196	30	0.0048
Diahe1	13139	63	0.0048
Drest1	5597	27	0.0048
Picpa1	5039	24	0.0048
Hisca1	9251	43	0.0046
Jimfl	13569	62	0.0046
Pirfi3	10989	50	0.0046
Triple1	10610	49	0.0046
Aspoch1	8917	40	0.0045
Cersp1	7822	35	0.0045
Corma2	12991	59	0.0045
Magor1	12836	58	0.0045
Picst3	5807	26	0.0045
Puctr1	15685	71	0.0045
Wilmi1	13060	59	0.0045
Cybfa1	5509	24	0.0044
Pleav1	11537	51	0.0044
Polci1	10579	47	0.0044
Veral1	10221	45	0.0044
Catan2	12804	55	0.0043
Dekbr2	5636	24	0.0043
Kazna1	5321	23	0.0043
Nagvi1	6711	29	0.0043
Triol1	8322	36	0.0043
Canta1	5895	25	0.0042
Cocba1	9532	40	0.0042
CocheC4	12720	53	0.0042
Coeaci1	7305	31	0.0042
Lacfe1	5233	22	0.0042
Micca1	8915	37	0.0042
Ophsi1	9961	42	0.0042
Prola1	6725	28	0.0042
Rhosp1	6680	28	0.0042
Tetpha1	5253	22	0.0042
Tribre1	10406	44	0.0042
Aspacu1	12027	49	0.0041
Aspbru1	12074	50	0.0041
Asphom1	11361	47	0.0041
Cocmi1	12007	49	0.0041
Kazaf1	5378	22	0.0041
Phybl2	16528	68	0.0041
Rhihy1	16988	69	0.0041
Triarc1	10962	45	0.0041
Walic1	4863	20	0.0041
Aspsac1	10066	40	0.0040
CocheC5	13336	53	0.0040
Colorb1	13348	54	0.0040
Crycu1	8661	35	0.0040
Cryte1	8560	34	0.0040
Marbr1	10027	40	0.0040
Metri1	8764	35	0.0040
Wican1	6423	26	0.0040
Coere1	7347	29	0.0039
Phycitr1	11088	43	0.0039
Pseule1	7918	31	0.0039
Rhisto1	14342	56	0.0039
Tolop1	9317	36	0.0039
Trich1	7766	30	0.0039
Tubae1	9344	36	0.0039
Abscae1	13367	51	0.0038
Ascni1	9620	37	0.0038
Pheno1	9820	37	0.0038
Trici4	9737	37	0.0038
Coespir1	7075	26	0.0037
Horwer1	15748	58	0.0037
Metal1	8472	31	0.0037
Triaru1	10473	39	0.0037
Trigu1	8062	30	0.0037
Valla1	8026	30	0.0037
Calpu1	9961	36	0.0036
Muloch1	10514	38	0.0036
Phy27169	11081	40	0.0036
Phycpc1	11258	40	0.0036
Settu3	12028	43	0.0036
Tolinf1	9997	36	0.0036
Artol1	11479	40	0.0035
Aspfij1	12018	42	0.0035
Asphet1	11130	39	0.0035
Colin1	11852	42	0.0035
Color1	14496	51	0.0035
Exode1	9562	33	0.0035
Lolmi1	11996	42	0.0035
Micbo1	13177	46	0.0035
PirE2	14648	51	0.0035
Psehy1	11232	39	0.0035
Xylhe1	8205	29	0.0035
Apimo1	16992	58	0.0034
Asptaic1	9692	33	0.0034
Cocsa1	12250	42	0.0034
Cryne	6475	22	0.0034
Kalpfe1	15187	52	0.0034
Piptie1	5811	20	0.0034
Triham1	10520	36	0.0034
Wicdo1	4743	16	0.0034
Aciaci1	11057	36	0.0033
Altbr1	10398	34	0.0033
Artfe1	5449	18	0.0033
Aspell1	12882	43	0.0033
Cormi1	9651	32	0.0033
Debha1	6270	21	0.0033
Hanva1	4800	16	0.0033
Malgl1	4286	14	0.0033
Pilumb1	10983	36	0.0033
Purli1	11763	39	0.0033
Tercla1	12765	42	0.0033
Umbelo1	9672	32	0.0033
Aspgl1	11277	36	0.0032
Lacmi1	5056	16	0.0032
Linth1	8029	26	0.0032
Mrafri1	9516	30	0.0032
Necsp1	8044	26	0.0032
Sphbr2	12594	40	0.0032
Spoumb1	10781	35	0.0032
Terbo2	12112	39	0.0032
Triatrob1	8637	28	0.0032
Trihyb1	13307	43	0.0032
Trilo3	10938	35	0.0032
Ashgo1	4768	15	0.0031
Colto1	12501	39	0.0031
Corca1	17166	54	0.0031
Crypto1	12726	40	0.0031
Dipse1	9343	29	0.0031
Filflo1	8319	26	0.0031
Phcit1	11101	34	0.0031
Pyrtt1	11799	36	0.0031
Schja1	4878	15	0.0031
Aspcam1	9756	29	0.0030
Blape1	10285	31	0.0030
Corco1	11030	33	0.0030
Delco1	10171	31	0.0030
Delst1	10337	31	0.0030
Diaam1	10704	32	0.0030
Digmar1	11553	35	0.0030
Rhota1	7014	21	0.0030
Spafl1	9732	29	0.0030
Spipu1	9424	28	0.0030
Tolpa1	8983	27	0.0030
Aciri1	11202	33	0.0029
Chylag1	14273	41	0.0029
Clalu1	5936	17	0.0029
Disac1	10296	30	0.0029
Eurhe1	10076	29	0.0029
Exomac1	10185	30	0.0029
Fimjon1	10067	29	0.0029
Gyresc1	11202	33	0.0029
Macan1	12954	38	0.0029
Phcitr1	11091	32	0.0029
SacAshbya	4479	13	0.0029
Aspcand1	9641	27	0.0028
Calco1	13177	37	0.0028
Debfa1	6027	17	0.0028
Hirmi1	10463	29	0.0028
Kocim1	7393	21	0.0028
Maseb1	12935	36	0.0028
Olpbor1	8477	24	0.0028
Penox1	9979	28	0.0028
Proin1	7373	21	0.0028
Psicub1	13361	38	0.0028
Pyrco1	13365	37	0.0028
Rhomi1	7814	22	0.0028
Sclsan1	7223	20	0.0028
Tribi1	10181	28	0.0028
Aspcl1	9121	25	0.0027
Aspni	12196	33	0.0027
Aspni7	11910	32	0.0027
Cerzm1	12020	33	0.0027
Chain1	11299	30	0.0027
Clarep1	16306	44	0.0027
DalEC12	11164	30	0.0027
Melsp1	16656	45	0.0027
Orpsp1	18936	52	0.0027
Stagr1	11832	32	0.0027
Stehi1	14072	38	0.0027
Talis1	9927	27	0.0027
Trigam1	10944	30	0.0027
Coclu2	12131	32	0.0026
Cocvi1	12894	33	0.0026
Cryan3	9403	24	0.0026
Cryne	6967	18	0.0026
Exool1	13234	34	0.0026
Gaesem1	8714	23	0.0026
Hesve2finisherSC	11141	29	0.0026
Macpha1	14844	39	0.0026
Meltu1	10192	27	0.0026
Neodi1	12685	33	0.0026
Psiser1	15481	41	0.0026
Pursp1	13641	36	0.0026
Rusoch1	12047	31	0.0026
Sceap1	8376	22	0.0026
Sebve1	15312	40	0.0026
Thest1	8418	22	0.0026
Tirniv1	10591	28	0.0026
Triat2	11828	31	0.0026
Aaoar1	14202	35	0.0025
Aspcor1	9078	23	0.0025
Aspneo1	11939	30	0.0025
Capcor1	9231	23	0.0025
CgaVGII	6495	16	0.0025
Colsa1	13783	34	0.0025
Crymi1	13960	35	0.0025
Crywi1	7467	19	0.0025
Cucbe1	12430	31	0.0025
Dotsy1	11790	29	0.0025
Hypsu1	17911	44	0.0025
Leucr1	9854	25	0.0025
Myrian1	9767	24	0.0025
Niavib1	10398	26	0.0025
Sacpr1	9234	23	0.0025
Talma1	10638	27	0.0025
Tillet1	9728	24	0.0025
Treen1	7964	20	0.0025
Trias1	12559	31	0.0025
Tubbor1	12346	31	0.0025
Aspeuc1	11933	29	0.0024
Aspka1	11475	27	0.0024
Asplac1	13083	31	0.0024
Aspni	11846	29	0.0024
Aspni	13917	34	0.0024
Calor1	8355	20	0.0024
CgaWM276	6565	16	0.0024
Exosp1	12049	29	0.0024
HypCI4A	11702	28	0.0024
Kalbr1	5765	14	0.0024
Lipst1	8192	20	0.0024
MarPMI226	12638	30	0.0024
Scysp1	14906	36	0.0024
Spola1	5498	13	0.0024
Talabor1	9744	23	0.0024
Talat1	9523	23	0.0024
Alikh1	11678	27	0.0023
Bulin1	9864	23	0.0023
CgaCA1873	6634	15	0.0023
Cocca1	12857	29	0.0023
Colfi1	13752	32	0.0023
EndpusZ1	9238	21	0.0023
Meimi1	7452	17	0.0023
Metma1	11535	27	0.0023
Myrin1	13553	31	0.0023
Rhoba1	7283	17	0.0023
Sporo1	5535	13	0.0023
Trigui1	11255	26	0.0023
Triha1	14069	33	0.0023
Wesor1	10410	24	0.0023
Amnli1	15589	35	0.0022
Aspph1	11972	26	0.0022
Aurpu	10809	24	0.0022
Claps1	13421	29	0.0022
Colch1	10310	23	0.0022
Helgr1	10224	23	0.0022
Metani1	10891	24	0.0022
Metbi1	5851	13	0.0022
Metbr1	10689	24	0.0022
Mixos1	6903	15	0.0022
Phocon1	16587	37	0.0022
PlePMI138	14034	31	0.0022
Tapde1	4609	10	0.0022
Tubma1	9433	21	0.0022
Umbisa1	9193	20	0.0022
XylPMI506	17035	38	0.0022
Amath1	10354	22	0.0021
Ascim1	17820	37	0.0021
Aspcos1	11966	25	0.0021
Aspcri1	10344	22	0.0021
Aspfo1	13530	28	0.0021
CgaVGIV	6696	14	0.0021
Conioc1	24734	52	0.0021
Copmar1	14629	30	0.0021
Foner1	12090	25	0.0021
Horac1	9830	21	0.0021
Jahaq1	15525	33	0.0021
Lacviv1	11612	24	0.0021
Lompr1	8557	18	0.0021
Metac1	9849	21	0.0021
Microd1	11559	24	0.0021
Monha1	10959	23	0.0021
Mutel1	14626	30	0.0021
Perma1	18742	39	0.0021
Photr1	13206	28	0.0021
Pieho1	7563	16	0.0021
Psever1	10685	22	0.0021
Altro1	12640	25	0.0020
Amycha1	14747	29	0.0020
Aspber1	12948	26	0.0020
Aurpu	10266	21	0.0020
Cerbo1	8022	16	0.0020
Croqu1	13903	28	0.0020
DiaPMI573	22971	45	0.0020
Exome1	10347	21	0.0020
Mereb1	11135	22	0.0020
Metgui1	11787	24	0.0020
Pse03VT05	10252	20	0.0020
Totfu1	13685	27	0.0020
Umbsp	9368	19	0.0020
Veren1	13748	27	0.0020
Xylhyp1	13084	26	0.0020
Aspbr1	13000	25	0.0019
Asppip1	12069	23	0.0019
Aurpu	11866	22	0.0019
Canca1	4657	9	0.0019
Claba1	12762	24	0.0019
Colsi1	13884	26	0.0019
Cypeu1	11094	21	0.0019
Fusps1	12395	24	0.0019
Hebcy2	15382	29	0.0019
Hetan2	13380	26	0.0019
Khuory1	13375	25	0.0019
Leppa1	13870	26	0.0019
Macph1	13806	26	0.0019
Melpu1	15837	30	0.0019
Nieex1	13499	26	0.0019
PseVKM103	9802	19	0.0019
Spofi1	10776	20	0.0019
Stach1	11368	22	0.0019
Stachl1	10706	20	0.0019
Trabet1	13239	25	0.0019
Trias8904	8507	16	0.0019
Triasp1	12320	24	0.0019
Tubbr1	12382	23	0.0019
Tubin1	11870	23	0.0019
Tubme1v2	10058	19	0.0019
Wicso1	4741	9	0.0019
Aspbom1	12265	22	0.0018
Aspnom13137	11914	21	0.0018
Aspuda1	9999	18	0.0018
Aspwel1	13687	25	0.0018
Botdo1	14805	27	0.0018
Eryha1	9521	17	0.0018
Fibin1	8148	15	0.0018
Fustri1	14042	25	0.0018
Lacaka1	12853	23	0.0018
Lizem1	12467	22	0.0018
Myrdu1	10676	19	0.0018
Neofi1	10403	19	0.0018
Neoirr1	6674	12	0.0018
Punst1	11538	21	0.0018
Pycci1	10233	18	0.0018
Ruscom1	10834	20	0.0018
Rusear1	12152	22	0.0018
TriviGv29	12423	22	0.0018
Agrped1	17280	30	0.0017
Anomyc1	11797	20	0.0017
Aspcae1	13916	23	0.0017
Aspibe1	11680	20	0.0017
Bolvit1	14483	25	0.0017
Cocpo1	7124	12	0.0017
Conpu1	13761	24	0.0017
Herpot1	15663	27	0.0017
Karrh1	15042	25	0.0017
Leisp1	13763	24	0.0017
Lenfl1	16718	29	0.0017
Lycper1	17855	30	0.0017
Monru1	9650	16	0.0017
Neosp1	20218	34	0.0017
Papla1	7537	13	0.0017
Phlrad1	14628	25	0.0017
Phohig1	17823	31	0.0017
Phomu1	12099	21	0.0017
Plecto1	12024	20	0.0017
Pycco1	12690	22	0.0017
Rhicl1	27761	47	0.0017
Rusdis1	11864	20	0.0017
Ruseme1	13214	23	0.0017
Saico1	7034	12	0.0017
Sirint1	9453	16	0.0017
Tragib1	12038	21	0.0017
AcreTS7	9964	16	0.0016
Asptu1	12322	20	0.0016
Cercer1	13489	21	0.0016
Chove1	17940	29	0.0016
Claca1	10373	17	0.0016
Erypu1	6859	11	0.0016
Lachen1	15954	26	0.0016
Macfu1	15775	25	0.0016
Metro1	11688	19	0.0016
Myceu1	12632	20	0.0016
Naifl1	13270	21	0.0016
Penbra1	11943	19	0.0016
Pensol1	11889	19	0.0016
Pesfi1	15413	24	0.0016
PhaPMI808	15864	26	0.0016
Pseudest1	9335	15	0.0016
Pycpun1	10050	16	0.0016
Pyrtr1	12141	20	0.0016
Rhiund1	12460	20	0.0016
Stano2	12380	20	0.0016
Agabi	10438	16	0.0015
Aspalli1	13099	19	0.0015
Aspfu	9916	15	0.0015
Aspnovo1	14182	21	0.0015
Asppsec1	13895	21	0.0015
Aspvad1	12132	18	0.0015
Aurde3	25459	38	0.0015
Calvi1	12378	19	0.0015
Clael1	13615	21	0.0015
ClaNC0930	13035	20	0.0015
CodFL1790	15615	23	0.0015
Colny1	14404	22	0.0015
Conol1	14928	22	0.0015
ConPMI546	11346	17	0.0015
Crafun1	13637	20	0.0015
Decga1	11835	18	0.0015
DelFL0756	11844	18	0.0015
Densp1	14320	21	0.0015
Dicsq1	12290	19	0.0015
Didex1	12371	18	0.0015
Elmca1	16571	25	0.0015
Fonmu1	12369	18	0.0015
Fonpe1	12527	19	0.0015
Fuspo1	14740	22	0.0015
Fusve2	20553	31	0.0015
Lacvol1	14970	22	0.0015
Leugo1	5322	8	0.0015
Lophiu1	12216	18	0.0015
Mersum1	10348	16	0.0015
Moeaph1	6011	9	0.0015
Rhidi1	23252	34	0.0015
Rhyru1	11987	18	0.0015
Rusvin1	12673	19	0.0015
Stasp1	14430	22	0.0015
Talst1	13252	20	0.0015
Ternu1	10998	16	0.0015
Trigue1	10572	16	0.0015
Umbra1	9931	15	0.0015
Ascsa1	10664	15	0.0014
Aspave1	11293	16	0.0014
Asplep1	12745	18	0.0014
Aspnom1	12897	18	0.0014
Aspwe1	12442	17	0.0014
Aulhe2	12111	17	0.0014
Capep1	10469	15	0.0014
Claim1	14033	20	0.0014
Cloaq1	15810	22	0.0014
Cocpos1	10228	14	0.0014
Copci1	13393	19	0.0014
Didma1	11614	16	0.0014
Fenfe1	11803	17	0.0014
Fusven1	12845	18	0.0014
Geatri1	14309	20	0.0014
Linin1	15954	23	0.0014
Neopa1	10366	15	0.0014
Paevar1	9270	13	0.0014
Penste1	10362	14	0.0014
Pirin1	11767	16	0.0014
Pocchl1	14204	20	0.0014
Slopil1	12822	18	0.0014
SmicuMNP	12166	17	0.0014
Torhe1	11471	16	0.0014
Trapub1	14451	20	0.0014
Altal1	13469	17	0.0013
Ampqui1	11144	14	0.0013
Artele1122	11943	16	0.0013
Aspalbe1	12816	17	0.0013
Aspca3	11624	15	0.0013
Aspfu1	9781	13	0.0013
Aspnid1	10680	14	0.0013
Aspnov1	11535	15	0.0013
Asppsen1	13384	18	0.0013
Bauco1	10513	14	0.0013
Botbo1	16526	22	0.0013
Chytri1	16054	21	0.0013
Cocim1	9910	13	0.0013
Colgl1	16538	22	0.0013
Exoaq1	13118	17	0.0013
Fuseq1	13580	17	0.0013
Fusgr1	13318	17	0.0013
Hypma1	15561	20	0.0013
Lacpsa1	13442	17	0.0013
Lacsub1	12802	17	0.0013
LecAK0013	12290	16	0.0013
Malve1	3791	5	0.0013
Mictr1	13087	17	0.0013
Panru1	13568	17	0.0013
Patat1	9781	13	0.0013
Pendec1	7149	9	0.0013
Penexp1	11023	14	0.0013
Pyrsp1	14995	19	0.0013
Rhivul1	11905	15	0.0013
Rhoto	8490	11	0.0013
Rusbre1	13997	18	0.0013
Stobe1	12707	16	0.0013
Veneff1	10820	14	0.0013
Walse1	5284	7	0.0013
Xanpa2	11065	14	0.0013
Agrpra2	12993	16	0.0012
Asppset1	13428	16	0.0012
Aspsy1	13620	16	0.0012
Asptam1	13331	16	0.0012
Aspte1	10406	12	0.0012
Aspve1	13228	16	0.0012
Basme2finSC	16110	19	0.0012
BlugrR1	7239	9	0.0012
Blyhe1	12167	15	0.0012
Cocst1	11537	14	0.0012
Conli1	12050	15	0.0012
Corgl3	20340	25	0.0012
Crula1	14218	17	0.0012
Erynec1	6484	8	0.0012
Exigl1	26765	32	0.0012
Fibsp1	32946	38	0.0012
Fishe1	11244	14	0.0012
Fonmo1	11984	14	0.0012
Galinc1	15853	19	0.0012
Gymau1	9106	11	0.0012
Hetpy1	7658	9	0.0012
Ilysp1	22250	27	0.0012
Lacpse1	20823	25	0.0012
Laxbic1	11416	14	0.0012
Lepnud1	14879	18	0.0012
MecolCla	37632	45	0.0012
Monili2	9189	11	0.0012
Necha2	15705	19	0.0012
Pennord1	12959	15	0.0012
Pensub1	14188	17	0.0012
Penth1	12467	15	0.0012
Phach1	6907	8	0.0012
Phcapit2	10957	13	0.0012
Phchr2	13602	16	0.0012
Phoaln1	18794	23	0.0012
Rhiir2	26183	32	0.0012
Rhitru1	11852	14	0.0012
Spopa1	8378	10	0.0012
Themi1	10290	12	0.0012
Tralj1	13179	16	0.0012
Tramey1	12440	15	0.0012
Tripop1	19690	24	0.0012
Venin1	13233	16	0.0012
Venpi1	11890	14	0.0012
Amore1	9642	11	0.0011
Amyenc1	11869	13	0.0011
Aspcal1	14944	17	0.0011
Aspfl1	12604	14	0.0011
Aspste1	13197	15	0.0011
Bimnz1	16678	18	0.0011
Cante1	5533	6	0.0011
Conlig1	13657	15	0.0011
Copci	14230	16	0.0011
Cytmel1	13046	14	0.0011
Fusla1	11940	13	0.0011
Fusoxcub1	22487	24	0.0011
Fusoxrad1	24739	28	0.0011
Glost2	14362	16	0.0011
Hexnit1	14981	16	0.0011
Hyabl1	7872	9	0.0011
Hydru2	18664	20	0.0011
HypCO275	12245	14	0.0011
Ilyeu1	20868	23	0.0011
Lacdel1	18193	20	0.0011
Metfru2	7362	8	0.0011
Monpu1	8918	10	0.0011
Pencop1	8999	10	0.0011
Penpol1	10694	12	0.0011
Phlgi1	11891	13	0.0011
Plemel1	16180	18	0.0011
Polfu1	15194	16	0.0011
Pseel1	11110	12	0.0011
Ptegra1	12872	14	0.0011
Rhyco1	12211	13	0.0011
Rhyse1	13145	15	0.0011
Rusrug1	13280	14	0.0011
Spogra1	8038	9	0.0011
Trace1	11836	13	0.0011
Traci1	14110	16	0.0011
Tralac1	12284	14	0.0011
Tramax1	12468	14	0.0011
Tramen1	12529	14	0.0011
Trapol1	12346	14	0.0011
Usnflo1	12649	14	0.0011
Abobie1	11767	12	0.0010
Anobom1	14617	15	0.0010
Antav1	15755	16	0.0010
Aspara19utr	13895	14	0.0010
Asppar1	13752	14	0.0010
Auramp1	15576	15	0.0010
Aurpu	10594	11	0.0010
Blugr2	7118	7	0.0010
Cananz1	16966	17	0.0010
ClaPMI390	15451	16	0.0010
Cligib1	19049	19	0.0010
Conap1	9308	9	0.0010
Cont1119283	15344	16	0.0010
Copang1	25933	25	0.0010
Cryam1	10306	10	0.0010
Currey1	10955	11	0.0010
Cyastr2	23512	24	0.0010
Echtin1	12506	12	0.0010
Fibra1	9262	9	0.0010
Fonnu1	11681	12	0.0010
Fusco1	15730	16	0.0010
Fuscu1	12472	13	0.0010
Galma1	21461	21	0.0010
Jaaar1	16419	17	0.0010
Lachat1	16831	17	0.0010
Lacsan1	17481	18	0.0010
