Species	TotalProteins	polyQ10_count	polyQ10_freq
Stachl1	10706	20	0.0019
Xanpa2	11065	14	0.0013
Aspor1	12030	11	0.0009
Pendec1	7149	9	0.0013
Myrin1	13553	31	0.0023
Varmin1	10962	10	0.0009
Hanuv1	4061	1	0.0002
Umbisa1	9193	20	0.0022
Spoumb1	10781	35	0.0032
Blape1	10285	31	0.0030
Conlig1	13657	15	0.0011
Spipu1	9424	28	0.0030
Lodelo1	5746	283	0.0493
Suifus1	18511	14	0.0008
Vitco1	2238	0	0.0000
Cocpo1	7124	12	0.0017
Schoc1	4986	0	0.0000
Uropr1	5998	4	0.0007
Treme1	8313	3	0.0004
Pilumb1	10983	36	0.0033
Chabre1	11585	211	0.0182
Neoirr1	6674	12	0.0018
Aspste1	13197	15	0.0011
Leumo1	14608	5	0.0003
Antser1	17406	11	0.0006
Sacarb1	5309	58	0.0109
Patat1	9781	13	0.0013
Agrpra2	12993	16	0.0012
Corca1	17166	54	0.0031
Galinc1	15853	19	0.0012
Ophau1	8171	65	0.0080
Clapol1	16591	125	0.0075
Terbo2	12112	39	0.0032
Rhice1	21549	18	0.0008
Bauco1	10513	14	0.0013
Nosbo1	4468	0	0.0000
Zymbr1	10566	8	0.0008
Ricme1	18952	16	0.0008
Elmca1	16571	25	0.0015
Botbo1	16526	22	0.0013
Symat1	6184	50	0.0081
Clarep1	16306	44	0.0027
Veral1	10221	45	0.0044
Rigmic1	10917	11	0.0010
Jamsp1	6858	62	0.0090
Blugra1	6525	6	0.0009
Hisca1	9251	43	0.0046
Babin1	6403	5	0.0008
Cerun2	12966	10	0.0008
Pickud1	5140	79	0.0154
Lenfl1	16718	29	0.0017
Dreco1	8236	49	0.0059
Capcor1	9231	23	0.0025
Morimp1	11971	70	0.0058
Gilper1	10992	174	0.0158
Suihi1	17066	14	0.0008
Talabor1	9744	23	0.0024
Bolvit1	14483	25	0.0017
Botcin1	16353	13	0.0008
Tramen1	12529	14	0.0011
Foner1	12090	25	0.0021
Rutfi1	13359	9	0.0007
Psean1	6640	70	0.0105
Rhiund1	12460	20	0.0016
Canta1	5895	25	0.0042
Micbo1	13177	46	0.0035
Macfu1	15775	25	0.0016
Coclu2	12131	32	0.0026
Conli1	12050	15	0.0012
Anomyc1	11797	20	0.0017
Trivi1	7037	60	0.0085
Corma2	12991	59	0.0045
LacCBS6924	5059	41	0.0081
Microd1	11559	24	0.0021
Botmuc1	5715	30	0.0052
Echtin1	12506	12	0.0010
Spoli1	9062	0	0.0000
Parsp1	14745	12	0.0008
Rhili1	12801	0	0.0000
Calor1	8355	20	0.0024
Basun1	6123	0	0.0000
Hangu1	4070	0	0.0000
Neucr2	10785	161	0.0149
Spopa1	8378	10	0.0012
Ompol1	8171	7	0.0009
Lopmy1	15151	2	0.0001
EndpusZ1	9238	21	0.0023
Lacfe1	5233	22	0.0042
Monru1	9650	16	0.0017
MelPMI1271	17284	18	0.0010
TerNC1134	12652	3	0.0002
Monpe1	13560	8	0.0006
Aspcl1	9121	25	0.0027
Polsqu1	15283	9	0.0006
Tripe1	6567	33	0.0050
Photr1	13206	28	0.0021
Colsa1	13783	34	0.0025
Copmar1	14629	30	0.0021
Xerba1	14937	5	0.0003
Lenpar1	9633	47	0.0049
Phisc1	18573	8	0.0004
Chlpad1	13494	235	0.0174
Fomros1	12986	9	0.0007
Rhyco1	12211	13	0.0011
LecAK0013	12290	16	0.0013
Colgl1	16538	22	0.0013
Helpul1	12793	185	0.0145
Tribi1	10181	28	0.0028
Trire	10052	65	0.0065
Muloch1	10514	38	0.0036
Hydru2	18664	20	0.0011
Aspnid1	10680	14	0.0013
Trigu1	8062	30	0.0037
Mucend1	11445	196	0.0171
Morwol1	10037	219	0.0218
Jaaar1	16419	17	0.0010
Cocst1	11537	14	0.0012
Rhivi1	14468	14	0.0010
Claps1	13421	29	0.0022
Trima3	22798	14	0.0006
Gaumor1	20331	11	0.0005
Thelan1	6241	42	0.0067
Gervar1	9411	59	0.0063
Sorma1	9856	96	0.0097
Fusre1	17051	12	0.0007
Hompol1	7123	64	0.0090
Erebi1	9881	7	0.0007
Paxam1	13471	7	0.0005
Drest1	5597	27	0.0048
Colhig2	14651	101	0.0069
Delst1	10337	31	0.0030
Galma1	21461	21	0.0010
Endsp1	9512	82	0.0086
Absrep1	14917	449	0.0301
Glopol1	11537	1	0.0001
Pencam1	14418	12	0.0008
Hypsu1	17911	44	0.0025
Satdi1	4881	51	0.0104
Stehi1	14072	38	0.0027
Kazaf1	5378	22	0.0041
Asppset1	13428	16	0.0012
Panru1	13568	17	0.0013
Penth1	12467	15	0.0012
Aspwe1	12442	17	0.0014
Asptra1	14216	9	0.0006
Rhima1	11382	9	0.0008
Dicele1	12396	197	0.0159
Tilwal1	7970	108	0.0136
Aspnom13137	11914	21	0.0018
Rusoch1	12047	31	0.0026
Aspcam1	9756	29	0.0030
Lacme1	4998	42	0.0084
Bulin1	9864	23	0.0023
Cantro1	6134	107	0.0174
Slopil1	12822	18	0.0014
Cercer1	13489	21	0.0016
Talst1	13252	20	0.0015
Didma1	11614	16	0.0014
Jimfl	13569	62	0.0046
Paxru2	18999	6	0.0003
Rhobut1	22868	7	0.0003
Colorb1	13348	54	0.0040
Hirmi1	10463	29	0.0028
Aspneo1	11939	30	0.0025
Hyspu1	12220	10	0.0008
HypCO275	12245	14	0.0011
Lenti7	15371	9	0.0006
Cylto1	13940	12	0.0009
Polfu1	15194	16	0.0011
Metal1	8472	31	0.0037
Aurde3	25459	38	0.0015
Fusoxcub1	22487	24	0.0011
Tubme1v2	10058	19	0.0019
Dotse1	12580	11	0.0009
Vanpo1	5367	45	0.0084
Stano2	12380	20	0.0016
Aspka1	11475	27	0.0024
Hymvar1	14929	7	0.0005
Asptaic1	9692	33	0.0034
Suiame1	17159	10	0.0006
Exosp1	12049	29	0.0024
Tilco1	9860	172	0.0174
Bombar1	15809	9	0.0006
Lachen1	15954	26	0.0016
PosplRSB12	12541	7	0.0006
Crymi1	13960	35	0.0025
Metgui1	11787	24	0.0020
Plicr1	13626	13	0.0010
Canca1	4657	9	0.0019
Enthe1	2536	0	0.0000
Cytmel1	13046	14	0.0011
Hypma1	15561	20	0.0013
FenlinCB54	12951	101	0.0078
Laxbic1	11416	14	0.0012
Metac1	9849	21	0.0021
Cormi1	9651	32	0.0033
Psehy1	11232	39	0.0035
Linrh1	10230	70	0.0068
Filflo1	8319	26	0.0031
PirE2	14648	51	0.0035
Phoaln1	18794	23	0.0012
Coere1	7347	29	0.0039
Ricmel1	17135	14	0.0008
Wolco1	12746	12	0.0009
Xylhyp1	13084	26	0.0020
Treen1	7964	20	0.0025
Hesve2finisherSC	11141	29	0.0026
Rhisto1	14342	56	0.0039
Asplep1	12745	18	0.0014
Tolinf1	9997	36	0.0036
Colch1	10310	23	0.0022
Phlcen1	13785	11	0.0008
Entca1	2169	0	0.0000
Exosi1	11120	8	0.0007
Hebvel2	20438	17	0.0008
Fuspro1	16143	12	0.0007
Zalva1	17759	2	0.0001
Fimjon1	10067	29	0.0029
Coespi1	7247	60	0.0083
Muccir1	11842	148	0.0125
Aspsy1	13620	16	0.0012
Phcitr1	11091	32	0.0029
Cypeu1	11094	21	0.0019
Tripar1	9062	84	0.0093
Aspcor1	9078	23	0.0025
Linin1	15954	23	0.0014
Rhihy1	16988	69	0.0041
Walic1	4863	20	0.0041
Canalb1	6020	104	0.0173
Lepnud1	14879	18	0.0012
Cryte1	8560	34	0.0040
Walse1	5284	7	0.0013
Traci1	14110	16	0.0011
Artfe1	5449	18	0.0033
Metbi1	5851	13	0.0022
Myrdu1	10676	19	0.0018
Caupr	3328	20	0.0060
Ricfib1	18897	17	0.0009
PhaeoFL0889	17000	10	0.0006
TyphTRa3160C	11022	8	0.0007
CorRAO	11255	60	0.0053
Aspibe1	11680	20	0.0017
Cersu1	12125	7	0.0006
Abobie1	11767	12	0.0010
Rozal1	6350	0	0.0000
Verga1	11357	0	0.0000
Triham1	10520	36	0.0034
Polhy1	9934	53	0.0053
Acema1	21022	11	0.0005
Rhich1	17125	282	0.0165
Trihyb1	13307	43	0.0032
Radspe1	10905	61	0.0056
Lacpse1	20823	25	0.0012
Bimnz1	16678	18	0.0011
Penpol1	10694	12	0.0011
Masph1	14021	8	0.0006
Acrchr1	8899	69	0.0078
Polar1	17497	11	0.0006
Altal1	13469	17	0.0013
Veren1	13748	27	0.0020
Laesu1	13774	11	0.0008
Malpa1	4202	3	0.0007
Hygaur1	14282	10	0.0007
Canar1	5861	150	0.0256
Tubma1	9433	21	0.0022
Copci	14230	16	0.0011
Niavib1	10398	26	0.0025
Amaapr1	15793	5	0.0003
Hebcy2	15382	29	0.0019
Aspvio1	12081	70	0.0058
Melap1finSC	23089	23	0.0010
Ascsa1	10664	15	0.0014
Gonbut1	11002	203	0.0185
Gansp1	12910	5	0.0004
Rhier1	16783	9	0.0005
Chiap1	9875	1	0.0001
PseVKM103	9802	19	0.0019
Linpe1	9350	53	0.0057
Naifl1	13270	21	0.0016
Nakwi1	5490	46	0.0084
Fomfom1	14756	8	0.0005
Pseudest1	9335	15	0.0016
Botci1	16447	14	0.0009
Debha1	6270	21	0.0033
AcreTS7	9964	16	0.0016
Aspnovo1	14182	21	0.0015
Pennord1	12959	15	0.0012
Phy27169	11081	40	0.0036
Exoaq1	13118	17	0.0013
Schpo1	5134	3	0.0006
Aspnom1	12897	18	0.0014
Phiatt1	11848	0	0.0000
Conioc1	24734	52	0.0021
Marfi1	17097	7	0.0004
AmpWSBS2006	3642	0	0.0000
Sacpr1	9234	23	0.0025
Ganpr1	13902	5	0.0004
Synfus1	8846	60	0.0068
Blatri	10671	126	0.0118
Cadsp1	22763	3	0.0001
Rhyse1	13145	15	0.0011
Neopa1	10366	15	0.0014
Neole1	13164	9	0.0007
Mycgal1	49690	20	0.0004
Irplac1	15318	10	0.0007
Nauca1	5592	39	0.0070
Nagvi1	6711	29	0.0043
Ascni1	9620	37	0.0038
Mitdap1	3330	1	0.0003
Penfr1	11739	10	0.0009
Phycitr1	11088	43	0.0039
Wican1	6423	26	0.0040
Aspind1	12163	58	0.0048
Aspbr1	13000	25	0.0019
Byssp1	8877	8	0.0009
Aspoch1	8917	40	0.0045
Fonnu1	11681	12	0.0010
Panst	16771	10	0.0006
Spafl1	9732	29	0.0030
Chylag1	14273	41	0.0029
Fonmu1	12369	18	0.0015
Nieex1	13499	26	0.0019
Trieq1	8676	66	0.0076
Fusla1	11940	13	0.0011
Polbr1	18244	14	0.0008
Porchr1	13561	8	0.0006
Penro1	12319	10	0.0008
Corbr1	9595	58	0.0060
Aspbom1	12265	22	0.0018
Geatri1	14309	20	0.0014
Talis1	9927	27	0.0027
Mrafri1	9516	30	0.0032
Parbra1	8390	73	0.0087
Triarc1	10962	45	0.0041
Yarlip1	6858	51	0.0074
Fuspo1	14740	22	0.0015
Cligib1	19049	19	0.0010
Tubbr1	12382	23	0.0019
Cryam1	10306	10	0.0010
Aspacu1	12027	49	0.0041
Mucmuc1	14052	194	0.0138
Suicot1	19835	14	0.0007
Tubae1	9344	36	0.0039
Lyoat1	15046	11	0.0007
Lacviv1	11612	24	0.0021
Mixos1	6903	15	0.0022
Parpar1	12306	299	0.0243
Penar1	12253	3	0.0002
Rhota1	7014	21	0.0030
Aspjap1	12024	62	0.0052
Ascap1	6442	83	0.0129
Melbi2	18619	12	0.0006
Gymlu1	22057	10	0.0005
Aspni7	11910	32	0.0027
Verda1	10499	72	0.0069
Sarco1	13738	14	0.0010
Metro1	11688	19	0.0016
Ustma2	6785	77	0.0113
Aspave1	11293	16	0.0014
Malve1	3791	5	0.0013
Sclhys1	16656	10	0.0006
Moeaph1	6011	9	0.0015
Pensub1	14188	17	0.0012
Ustgig1	6705	52	0.0078
Tirniv1	10591	28	0.0026
Gyresc1	11202	33	0.0029
Rhior3	17463	103	0.0059
Aspvad1	12132	18	0.0015
Asphom1	11361	47	0.0041
Glost2	14362	16	0.0011
Suisu1	17080	16	0.0009
Muccirc1	12227	269	0.0220
Ampqui1	11144	14	0.0013
Lachat1	16831	17	0.0010
Bysni1	10584	3	0.0003
Clalu1	5936	17	0.0029
Triin1	8282	94	0.0113
Pneca1	3646	1	0.0003
Color1	14496	51	0.0035
Gymci1	9779	7	0.0007
Decga1	11835	18	0.0015
Lacsub1	12802	17	0.0013
Dacsp1	10242	5	0.0005
Copph3	27370	10	0.0004
Leugo1	5322	8	0.0015
Tetpha1	5253	22	0.0042
Tilalb1	8471	47	0.0055
Benpoi1	11659	125	0.0107
Zoorad1	14479	2	0.0001
Colfi1	13752	32	0.0023
Phaal1	8834	9	0.0010
Lacno1	5154	38	0.0074
Lophiu1	12216	18	0.0015
Mucfus1	12309	249	0.0202
Talma1	10638	27	0.0025
Lorma1	14665	11	0.0008
Brefa1	7554	131	0.0173
Cananz1	16966	17	0.0010
Tetbla1	5389	46	0.0085
Verlo1	20793	103	0.0050
Clafu1	14015	12	0.0009
Tilan2	6810	41	0.0060
Aspalli1	13099	19	0.0015
Pacta1	5675	117	0.0206
Pirfi3	10989	50	0.0046
Tragib1	12038	21	0.0017
Themi1	10290	12	0.0012
Asptu1	12322	20	0.0016
Fibsp1	32946	38	0.0012
Melen1	6624	46	0.0069
Spoth2	9110	161	0.0177
Copmic2	23559	4	0.0002
Oudmuc1	18561	9	0.0005
Phycpc1	11258	40	0.0036
Rhosp1	6680	28	0.0042
Tralac1	12284	14	0.0011
Cepfr1	5717	44	0.0077
Agabi	10438	16	0.0015
CoeBC34962	6547	72	0.0110
Cokrec1	10916	194	0.0178
Corfu1	10061	53	0.0053
Asppsec1	13895	21	0.0015
Ustvir1	6451	52	0.0081
Mictr1	13087	17	0.0013
DalEC12	11164	30	0.0027
Psicub1	13361	38	0.0028
Sacca1	6736	76	0.0113
Coeaci1	7305	31	0.0042
Pirin1	11767	16	0.0014
Phach1	6907	8	0.0012
Lepmu1	12469	71	0.0057
Tillet1	9728	24	0.0025
Copci1	13393	19	0.0014
Exoxe1	13187	8	0.0006
Cerzm1	12020	33	0.0027
Triat2	11828	31	0.0026
Ascra1	10596	55	0.0052
Claye1	10118	4	0.0004
Panst	15860	9	0.0006
Phlrad1	14628	25	0.0017
Morsel1	13461	239	0.0178
Phisu1	20173	4	0.0002
Canpa1	5810	160	0.0275
Hymrad1	27481	11	0.0004
Melva1	20389	8	0.0004
Rhimi	11352	140	0.0123
Aspfu	9916	15	0.0015
Trich1	7766	30	0.0039
Pench1	11396	9	0.0008
Emepa1	8950	68	0.0076
Settu3	12028	43	0.0036
Monpu1	8918	10	0.0011
Pilano1	12816	289	0.0225
Neudi1	9948	144	0.0145
Penbra1	11943	19	0.0016
Aspell1	12882	43	0.0033
Aspcal1	14944	17	0.0011
Metri1	8764	35	0.0040
Tramey1	12440	15	0.0012
Sissu1	13657	4	0.0003
Erynec1	6484	8	0.0012
Horac1	9830	21	0.0021
Phlgi1	11891	13	0.0011
Boledp1	18123	9	0.0005
Chove1	17940	29	0.0016
Pse03VT05	10252	20	0.0020
Dotsy1	11790	29	0.0025
Colto1	12501	39	0.0031
PlePMI138	14034	31	0.0022
Copang1	25933	25	0.0010
Hyssto1	15017	11	0.0007
Aspeuc1	11933	29	0.0024
Rhivul1	11905	15	0.0013
Pendig1	8946	4	0.0004
Tolop1	9317	36	0.0039
Basme2finSC	16110	19	0.0012
Gigro1	31291	21	0.0007
Hethyg1	7158	76	0.0106
Felpe1	8340	5	0.0006
Hetan2	13380	26	0.0019
Capep1	10469	15	0.0014
Thipu1	5296	77	0.0145
Densp1	14320	21	0.0015
Amamu1	18153	8	0.0004
Exome1	10347	21	0.0020
Exool1	13234	34	0.0026
Crison1	11356	6	0.0005
Aciaci1	11057	36	0.0033
Fishe1	11244	14	0.0012
Didsa1	13360	6	0.0004
Sposc1	10277	136	0.0132
Klula1	5076	42	0.0083
Picme2	5546	47	0.0085
Lopnit1	19983	14	0.0007
Coespir1	7075	26	0.0037
Aspalbe1	12816	17	0.0013
Bissp1	17944	0	0.0000
Aspzo1	9886	100	0.0101
Suigr1	15801	15	0.0009
DelFL0756	11844	18	0.0015
Pennal1	11853	10	0.0008
Serla	13805	7	0.0005
Capse1	11909	11	0.0009
Suisub1	15740	9	0.0006
Powhir1	9359	79	0.0084
Mycafr1	10917	232	0.0213
Digmar1	11553	35	0.0030
XylPMI703	16490	6	0.0004
Caupr1	6168	83	0.0135
Aspber1	12948	26	0.0020
Cybja1	6038	57	0.0094
Ustsp1	8060	43	0.0053
Rusdis1	11864	20	0.0017
Colny1	14404	22	0.0015
Mycind1	10509	298	0.0284
Aspcri1	10344	22	0.0021
DimcrSC1	7456	7	0.0009
Crevar1	14572	4	0.0003
Zyghe1	5430	31	0.0057
Kircor1	16793	203	0.0121
Trapol1	12346	14	0.0011
CgaVGII	6495	16	0.0025
Tapde1	4609	10	0.0022
Penfla1	10994	9	0.0008
Trime1	7860	85	0.0108
Aspram1	7761	42	0.0054
Kocim1	7393	21	0.0028
Spoin1	9496	300	0.0316
Guyne1	14266	11	0.0008
Cryne	6967	18	0.0026
Pyrsp1	14995	19	0.0013
Calco1	13177	37	0.0028
Gyman1	29371	13	0.0004
Triver1	8024	70	0.0087
PhaPMI808	15864	26	0.0016
Canor1	5678	91	0.0160
Sugame1	6288	35	0.0056
Chocucu1	11534	103	0.0089
Creces1	12891	4	0.0003
Cysmur1	13196	6	0.0005
Suipla1	15123	12	0.0008
Cerbe1	11903	9	0.0008
Entbi1	3632	0	0.0000
Micca1	8915	37	0.0042
Psehu1	7472	49	0.0066
Disorn1	12582	204	0.0162
Blatri1	11687	112	0.0096
Lacvol1	14970	22	0.0015
Ascim1	17820	37	0.0021
Pursp1	13641	36	0.0026
Triha1	14069	33	0.0023
Neosp1	20218	34	0.0017
Agahy1	7746	6	0.0008
Fonmo1	11984	14	0.0012
Punst1	11538	21	0.0018
Parpo1	6046	5	0.0008
ThyNC0857	9624	10	0.0010
Licra1	11542	127	0.0110
Usnflo1	12649	14	0.0011
Wesor1	10410	24	0.0023
Lacmi1	5056	16	0.0032
Crycu1	8661	35	0.0040
Trabet1	13239	25	0.0019
MecolCla	37632	45	0.0012
Crypa2	11609	75	0.0065
Clael1	13615	21	0.0015
Agrped1	17280	30	0.0017
Totfu1	13685	27	0.0020
Ophpic1	8884	68	0.0077
Glalo1	13083	5	0.0004
Spofi1	10776	20	0.0019
LedB17	13943	5	0.0004
Obemuc1	15466	149	0.0096
Aaoar1	14202	35	0.0025
Hanos1	4657	108	0.0232
Puctr1	15685	71	0.0045
Symko1	10482	4	0.0004
Gymau1	9106	11	0.0012
Synps1	6123	34	0.0056
Pencop1	8999	10	0.0011
Hydfim1	12423	10	0.0008
Karrh1	15042	25	0.0017
Liccor1	13404	173	0.0129
Blader1	11539	60	0.0052
Dicrob1	12069	246	0.0204
Cryan3	9403	24	0.0026
Colin1	11852	42	0.0035
Sepmu1	10233	50	0.0049
Melsp1	16656	45	0.0027
Lepor2	21254	7	0.0003
Amyenc1	11869	13	0.0011
Synrac1	11124	232	0.0209
Crula1	14218	17	0.0012
Fompi3	13885	12	0.0009
Neodi1	12685	33	0.0026
Aspuda1	9999	18	0.0018
Thaele1	13104	203	0.0155
Scysp1	14906	36	0.0024
Khuory1	13375	25	0.0019
Mycfi2	13107	8	0.0006
Aurvu1	16943	12	0.0007
Penoc1	11231	8	0.0007
Eutla1	11685	58	0.0050
Melti1	8994	52	0.0058
Coeere1	8187	46	0.0056
Parlu1	8826	67	0.0076
Rhodsp1	6681	37	0.0055
Linth1	8029	26	0.0032
Encro1	1831	0	0.0000
Mucci2	11719	88	0.0075
Fusve2	20553	31	0.0015
Lolmi1	11996	42	0.0035
Trave1	14296	13	0.0009
Saico1	7034	12	0.0017
Enche1	1846	0	0.0000
Cybfa1	5509	24	0.0044
Thest1	8418	22	0.0026
Apimo1	16992	58	0.0034
Zymps1	11044	4	0.0004
Herpot1	15663	27	0.0017
Aciri1	11202	33	0.0029
Aspfo1	13530	28	0.0021
Aspuva1	12015	59	0.0049
Pyrco1	13365	37	0.0028
Jimlac1	12466	68	0.0055
Artol1	11479	40	0.0035
Amycha1	14747	29	0.0020
Psefl1	6877	149	0.0217
Rusrug1	13280	14	0.0011
Conol1	14928	22	0.0015
Phybl2	16528	68	0.0041
Clasph1	8807	6	0.0007
Ellano2	12251	289	0.0236
Picpa1	5039	24	0.0048
Melbro1	14167	5	0.0004
Magpo1	12335	98	0.0079
Metani1	10891	24	0.0022
Spapa3	5983	78	0.0130
Seppo1	9739	82	0.0084
Zasce1	16015	10	0.0006
Hanpo2	5177	4	0.0008
Plemel1	16180	18	0.0011
Asptam1	13331	16	0.0012
Suiocc1	16029	9	0.0006
Cloaq1	15810	22	0.0014
Aspscle1	12570	10	0.0008
Leisp1	13763	24	0.0017
Amnli1	15589	35	0.0022
Clapu1	8823	61	0.0069
Fuseq1	13580	17	0.0013
Pseule1	7918	31	0.0039
Rusbre1	13997	18	0.0013
Lopma1	16142	10	0.0006
Pencit1	12602	11	0.0009
Fuscu1	12472	13	0.0010
Umbelo1	9672	32	0.0033
Halrad1	10175	272	0.0267
Hercor1	12369	9	0.0007
Pnejir1	3761	0	0.0000
Amath1	10354	22	0.0021
Rhives1	14218	9	0.0006
Cocca1	12857	29	0.0023
Paevar1	9270	13	0.0014
Conapa1	17284	15	0.0009
Blugr2	7118	7	0.0010
Lorju1	14372	8	0.0006
Hyabl1	7872	9	0.0011
Blabri1	9429	85	0.0090
Pengri1	9630	8	0.0008
Aspser1	13713	12	0.0009
Trace1	11836	13	0.0011
Lenzyc1	9378	56	0.0060
Myceu1	12632	20	0.0016
Sprlo1	2499	0	0.0000
Aspbru1	12074	50	0.0041
Trias8904	8507	16	0.0019
Asppar1	13752	14	0.0010
Lopnu1	18117	8	0.0004
Venin1	13233	16	0.0012
Ternu1	10998	16	0.0015
Penexp1	11023	14	0.0013
Cryne	6475	22	0.0034
Croqu1	13903	28	0.0020
Amylap1	11558	5	0.0004
Fusoxmel1	26719	20	0.0007
Aspcos1	11966	25	0.0021
Asppip1	12069	23	0.0019
Rhyag1	13673	13	0.0010
Clagr3	11389	10	0.0009
Prola1	6725	28	0.0042
Boled5	18721	9	0.0005
Rhoglu91	7374	6	0.0008
Rhicl1	27761	47	0.0017
Mormul1	12248	234	0.0191
Tramax1	12468	14	0.0011
Aspfij1	12018	42	0.0035
Pesfi1	15413	24	0.0016
Fonpe1	12527	19	0.0015
Aurpu	10809	24	0.0022
Chathe1	7165	142	0.0198
Tripop1	19690	24	0.0012
Bolcoc1	12353	6	0.0005
Veneff1	10820	14	0.0013
Metfru2	7362	8	0.0011
Cepal1	6196	30	0.0048
Macpha1	14844	39	0.0026
Mycgr3	10933	4	0.0004
Aspwel1	13687	25	0.0018
Auramp1	15576	15	0.0010
Crafun1	13637	20	0.0015
Penita1	9996	8	0.0008
SmicuMNP	12166	17	0.0014
Hexnit1	14981	16	0.0011
Suibov1	13537	13	0.0010
ConPMI546	11346	17	0.0015
Aspmin1	13415	10	0.0007
Torhe1	11471	16	0.0014
Sclsan1	7223	20	0.0028
Armlut1	20318	10	0.0005
Rhoba1	7283	17	0.0023
Schco3	16319	8	0.0005
Alikh1	11678	27	0.0023
Nakbac1	5086	28	0.0055
Melli1	16335	13	0.0008
Horwer1	15748	58	0.0037
Lacdel1	18193	20	0.0011
Asphet1	11130	39	0.0035
Hanva1	4800	16	0.0033
Fusfu1	14813	14	0.0009
Triasp1	12320	24	0.0019
Vavcu1	2773	0	0.0000
Armcep1	23460	17	0.0007
Kalbr1	5765	14	0.0024
Exode1	9562	33	0.0035
Asplac1	13083	31	0.0024
Aurpu	10594	11	0.0010
Rhimi1	10905	90	0.0083
Pycci1	10233	18	0.0018
Pipcy3	4301	2	0.0005
Aspscl1	12338	10	0.0008
Polci1	10579	47	0.0044
Aspte1	10406	12	0.0012
Hanop1	4167	0	0.0000
Spifus1	10164	61	0.0060
Cyastr2	23512	24	0.0010
Neofi1	10403	19	0.0018
TerJ132	11143	3	0.0003
Sacboulardii	5493	44	0.0080
Calpu1	9961	36	0.0036
Suiamp1	16525	10	0.0006
Triso1	10671	80	0.0075
Nadfu1	5657	39	0.0069
Ilyeu1	20868	23	0.0011
Ashgo1	4768	15	0.0031
Hetpy1	7658	9	0.0012
Chytri1	16054	21	0.0013
Nangy1	8907	45	0.0051
Cocpos1	10228	14	0.0014
